hubspot_id,state,viability_score,candidate_office,official_office_name,office_level,office_type,election_date,general_election_result,general_votes_received,total_general_votes_cast,is_uncontested,outreach_id,campaign_id,outreach_name,outreach_title,script,outreach_status,outreach_type,outreach_date,message,phone_list_id,audience_request,voter_file_filter_id,outreach_created_at,outreach_updated_at
22561296664,Illinois,null,Circuit Court Judge - Cook County Circuit (Dooling Vacancy),null,STATE,null,2024-11-05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
23353757459,Michigan,0.2500000000,Michigan State University Trustee,null,STATE,Statewide/Governor,2024-11-05,Lost General,105875.0000000000,9707164.0000000000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
23362474873,California,1.6100000000,Ramona Unified School Board - Area 3,null,LOCAL,School Board,2024-11-05,Lost General,901.0000000000,2463.0000000000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
23458654577,Oregon,3.1000000000,Lake Oswego City Mayor,null,CITY,Mayor,2024-11-05,Won General,14527.0000000000,14527.0000000000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
25283602015,Minnesota,4.9900000000,Callaway City Council,null,CITY,City Council,2024-11-05,Won General,59.0000000000,110.0000000000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
29304017583,Illinois,2.2100000000,Lake County: Avon Township Council,"Avon Township, Trustee",LOCAL,Town Council,2025-04-01,Lost General,2027.0000000000,17439.0000000000,Contested,null,null,null,null,null,null,null,null,null,null,null,null,null,null
29349305443,Wisconsin,1.7300000000,Janesville City Council,Janesville City Council,CITY,City Council,2025-04-01,Won General,9813.0000000000,54235.0000000000,Contested,null,null,null,null,null,null,null,null,null,null,null,null,null,null
31427530864,Wisconsin,5.0000000000,Kingston Village Board,Kingston Village Board,CITY,Town Council,2025-04-01,Won General,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
31770894393,Ohio,0.0300000000,U.S. House of Representatives - Ohio 5th Congressional District,null,FEDERAL,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
31858281349,Texas,5.0000000000,Oyster Creek City Mayor,Oyster Creek City Mayor,CITY,Mayor,2025-05-03,Won General,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
32841166372,Missouri,3.6100000000,Adrian Rural Fire Board,Adrian Rural Fire Protection District Board - Position 3,Local,Other,2025-05-20,Won General,null,187.0000000000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
33903059553,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
34449894745,Georgia,1.6500000000,Atlanta City Mayor,null,CITY,null,2025-11-04,Not on Ballot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
34901642665,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
35021455442,Washington,0.9900000000,Vancouver City Council - Position 1,Vancouver City Council - Position 1,CITY,City Council,2025-11-04,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
35045568335,Washington,1.2700000000,Point Roberts Public Hospital District Board - Position 2,Point Roberts Public Hospital District Board - Position 2,LOCAL,Other,2025-11-04,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
35159578744,New York,2.2900000000,Port Jervis School Board,null,LOCAL,null,2027-05-18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
35999688034,Alabama,1.0900000000,Cullman County Sheriff,null,COUNTY,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
36341833217,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
37377881702,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
38116490593,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
38893185148,Kansas,1.4300000000,Goddard City Council,Goddard City Council,CITY,City Council,2025-11-04,Lost General,173.0000000000,997.0000000000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
38901909030,Ohio,null,U.S. Senate - Ohio,null,FEDERAL,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
39138436010,Utah,0.9700000000,Salt Lake City Council - District 7,Salt Lake City Council - District 5,CITY,City Council,2025-11-04,Lost General,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
39216805673,Massachusetts,null,Lawrence School Committee,null,LOCAL,City Council,2025-11-04,Won General,null,null,null,58248,148818,null,P2P Outreach - Campaign 148818,"Hi, this is Eliaquin “Quin” Gonell- Candidate for Lawrence School Committee. As a longtime educator and community leader, I’m running for School Committee to make sure every decision puts our students and families first.

Early voting is open in Lawrence through October 31st and Election Day is Tuesday, November 4th. Polls will be open from 7 am to 8 pm.

Vote for Quin Gonell for  Lawrence School Committee! Learn more at https://linktr.ee/gonell4lawrenceschools or reach out at 978-390-6213 with any questions. 


Hola, soy Eliaquin “Quin” Gonell, candidato para el Comité Escolar de Lawrence. Como educador y líder comunitario, me postulo para el Comité Escolar para asegurarme que cada decisión ponga a nuestros estudiantes y familias en primer lugar.
La votación anticipada en Lawrence está abierta hasta el 31 de octubre, y el Día de las Elecciones Generales es el martes 4 de noviembre. Las urnas estarán abiertas de 7 a. m. a 8 p. m.
¡Vota por Quin Gonell para el Comité Escolar de Lawrence! Obtén más información en https://linktr.ee/gonell4lawrenceschools o comunícate al 978-390-6213 si tiene alguna pregunta.
",pending,text,2025-10-31T04:00:00.000,I would like to send it as soon as possible. We had a surprising turnout of early voters and time is of the essence. ,null,null,82173,2025-10-28T21:05:09.350,2025-10-28T21:05:09.350
39278713239,Texas,null,Schertz-Cibolo-Universal City Independent School Board - Place 7,null,LOCAL,null,2025-11-04,Lost General,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
39276929824,New Mexico,0.6600000000,Aztec School Board - District 3,Aztec School Board - District 3,LOCAL,School Board,2025-11-04,Lost General,172.0000000000,348.0000000000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
39615597468,Ohio,1.3300000000,Hardin-Houston Local School Board,Hardin-Houston Local School Board,LOCAL,School Board,2025-11-04,Lost General,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
39631457042,New York,null,Canandaigua Town Supervisor / Ontario County Supervisor,null,COUNTY,null,2025-11-04,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
40458478967,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
41407154473,District Of Columbia,null,U.S. House of Representatives Delegate - District of Columbia,null,FEDERAL,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
43254495296,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
44391295311,New Jersey,null,New Jersey General Assembly - District 2,null,STATE,null,2027-11-02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
45884220548,Texas,null,Cibolo City Council Place 7,null,null,null,2025-12-13,Won General,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
46568915205,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
47096709537,Wisconsin,null,Mount Pleasant Village Board - District 6,null,CITY,null,2026-04-07,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
47399730099,California,null,Brea Olinda Unified School Board - Area 1,null,LOCAL,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
47354999918,Michigan,null,TaDa TDK,null,null,null,2025-12-18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
21113250346,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
18633853734,California,null,"County supervisor, 5th district",null,LOCAL,County Supervisor,2024-03-05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
19101104650,null,null,School Board,null,Local,School Board,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
19112551837,Missouri,2.4900000000,Sunset Hills City Council - Ward 2,null,CITY,City Council,2024-04-02,Lost General,267.0000000000,620.0000000000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
19169012224,Utah,null,"Salt Lake County Council - At Large, Seat A",null,COUNTY,County Supervisor,2024-11-05,Not on Ballot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
19421013519,null,null,office,null,null,Other,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
19434498870,Colorado,0.1500000000,Colorado House of Representatives - District 9,null,STATE,State House,2024-11-05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
19630026811,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
19677452177,California,1.7800000000,San Francisco County Board of Supervisors - District 11,null,COUNTY,County Supervisor,2024-11-05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
20364840219,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
21115278357,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
20650382185,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
21198443568,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
